equipment_type_desc,circuit_label_type_desc,sum_power,category
Nutone Fan,Other,14.711,Other
NW Corner Of House,Other,339.105,Other
O/s Lts Garage And Down Rain,Other,204.849,Other
Office,Other,212.99,Other
Office,Other,358.925,Other
Office & Master Bath,Other,42.817,Other
Office And Computer,Other,22.453,Other
"Office Kitchen Lights, Middle & Rear Bedroom",Other,987.553,Other
Office Outlets,Other,54.961,Other
Office Outlets,Other,221.367,Other
"Office, Garage, Overhead Door",Other,2379.156,Other
Office/Shed Outlets,Other,5.7860000000000005,Other
Oil/Kerosene - Boiler,Other Zonal Heat,153.089,Heating
Oil/Kerosene - Furnace,Gas Furnace (Component),270.855,Heating
Old Dining Room Heat Cct,Electric Baseboard Heaters,0,Heating
Old Dishwasher Cct,Other,0,Other
Old Oven Outlet,Other,0.523,Other
On Beds,Other,4.811,Other
On Beds,Other,18.657,Other
Open Heat,Other,0,Other
Outdoor,Other,178.752,Other
Outdoor Freezer,Refrigerator/Freezer,0,Appliances
Outdoor Outlet,Other,13.346,Other
Outdoor Shed,Other,36.265,Other
Outhlets,Other,24.016000000000002,Other
Outlet,Other,135.444,Other
Outlet For Chest Freezer And Other Misc,Refrigerator/Freezer,69.993,Appliances
Outlet For Garage Freezer,Other,3.86,Other
Outlet Next To Refrigerator,Other,45.765,Other
Outlet Used For Refrigerator And Window AC,Other,22.553,Other
Outlets,Other,883.724,Other
Outlets,Other,168.305,Other
Outlets 1,Other,36.172,Other
Outlets 2,Other,26.993,Other
Outlets And Lights,Other,2.1550000000000002,Other
"Outlets In Mud Room, Contains 1 Upright And 1 Chest Freezer",Other,430.536,Other
Outlets In Utility Area,Other,114.14300000000001,Other
Outside,Other,5.2780000000000005,Other
Outside Lights,Other,521.169,Other
Outside Lights And Outlets,Other,135.943,Other
Outside Outlet,Other,3.395,Other
Outside Outlet,Other,20.691,Other
Outside Outlet & Other Misc,Other,272.45,Other
Outside Outlet: Back Porch Only,Other,2.88,Other
Outside Outlet: N Side Of House Only,Other,7.984,Other
Outside Plug,Other,3.435,Other
Outside Plugs,Other,10.856,Other
Outside Receptacle,Other,538.903,Other
Outside Receptical,Other,20.115,Other
Outside Water Feature,Other,0,Other
Panel B,Other,4275.293,Other
Panel Cct 13a,Other,0.005,Other
Panel Cct 13b,Other,19.353,Other
Panel Cct 14b,Other,32.659,Other
Panel Cct 15b,Other,196.47,Other
Panel Label = Freezer,Other,9.433,Other
Panel Label: [Blank],Other,3.168,Other
Panel Label: Bath GFI,Other,0.16,Other
Panel Label: Bonus Room,Other,279.057,Other
Panel Label: East Bed AF,Other,33.647,Other
Panel Label: Entertainment,Other,143.137,Other
Panel Label: Entry,Other,169.814,Other
Panel Label: Family Plugs,Other,164.949,Other
Panel Label: Family Rm. Lts. Plugs,Other,87.109,Other
Panel Label: Garage Door Opener,Other,73.086,Other
Panel Label: Jet Tub,Other,30.625,Other
Panel Label: Kitchen Lts.,Other,56.204,Other
Panel Label: Master Bath/Powder Bath,Other,42.165,Other
Panel Label: Master Bed AF,Other,35.022,Other
Panel Label: Up Hall/Bath,Other,23.028,Other
Panel Label: Vacuum,Other,2.8810000000000002,Other
Panel Label: X-Mas,Other,3.827,Other
Pantry Freezer Plug,Other,52.349000000000004,Other
Photo,Other,0.015,Other
Pool,Other,5.748,Other
Post Lights & Outside Light,Other,205.712,Other
Powder Room,Other,8.605,Other
Powder Room GFCI,Other,2.8890000000000002,Other
Printer + Outside Gar Rec,Other,4.018,Other
Propane - Water Heater - Fossil Fuel Condensing,Other,10.774000000000001,Other
Pump,Other,0.334,Other
Radiant Ceiling Heat 1,Other Zonal Heat,306.719,Heating
Radiant Ceiling Heat 2,Other Zonal Heat,1.177,Heating
Range,Stove/Oven/Range,581.6080000000001,Appliances
Range,Other,0,Other
Range,Stove/Oven/Range,1106.4,Appliances
Range,Stove/Oven/Range,72.7,Appliances
Range,Stove/Oven/Range,18.811,Appliances
Range,Stove/Oven/Range,0,Appliances
Range Hood,Stove/Oven/Range,8.24,Appliances
Range Hood/Wall Socket,Other,35.338,Other
Range Oven,Stove/Oven/Range,212.677,Appliances
Rec Rm Outlets,Other,38.028999999999996,Other
Rec Room,Other,86.688,Other
Rec Room Outlets,Other,165.903,Other
Rec Room Outlets,Other,217.46,Other
Rec Room Plus Rec SW Refrigerator,Other,90.693,Other
Receptacle Near Stairway,Other,0.001,Other
Receptacles,Other,38.338,Other
"Recp Kitchen, Dining Rm",Other,115.924,Other
"Refer Outlets, Golf Shop",Other,124.078,Other
"Refrig, Opposite-Side Outlets",Other,118.549,Other
Refrigerator,Refrigerator/Freezer,729.34,Appliances
Refrigerator,Other,131.052,Other
"Refrigerator, Downstairs Bath",Other,68.06,Other
"Refrigerator, Garbage Disposal, Wall Plugs",Other,0.002,Other
Refrigerator/freezer,Refrigerator/Freezer,143.58700000000002,Appliances
Rm Above,Other,1.844,Other
Roof PV,Solar,0,Solar
RV,Other,12.661,Other
RV Lights,Other,13.796,Other
RV Plug,Other,0,Other
RV Power,Other,6.2299999999999995,Other
Salon Outlets,Other,84.49,Other
Sauna,Other,0.001,Other
"SE Small Master- Except One Outlet On Inside Wall By Closet/hall Bath, Hall Lights And Outlet, And Dinette Chandelier",Other,188.8,Other
Second Stage Of Furnace Heat,Electric Furnace,3411.269,Heating
Septic,Other,1034.774,Other
Septic Floats,Other,0.333,Other
Septic Tank Pump,Other,2.334,Other
Service Plug,Other,26.697,Other
Service Plug,Other,3.001,Other
Shed,Other,279.599,Other
Shop,Other,643.589,Other
Shop Heat,Other Zonal Heat,201.237,Heating
Shop Plugs 1,Other,174.571,Other
Shop Plugs 2,Other,9.756,Other
Shop Receptacle On Outside Walls,Other,14.861,Other
Shop Sub Panel,Other,1562.454,Other
Shop Subpanel,Other,739.466,Other
Show NW Basement Outlets,Other,36.43,Other
Sink-Side Outlets,Other,21.767,Other
Sitting Room,Other,75.804,Other
Small Appliance,Other,19.908,Other
Small Appliances,Other,28.775000000000002,Other
Small Appliances,Other,1552.6000000000001,Other
Small Appliances 2,Other,141.53,Other
"Small Bathroom, Hall Lights",Other,41.43,Other
Smoke,Other,17.682,Other
Smoke Alarms,Other,5.854,Other
Smoke Detectors,Other,2.88,Other
Smoke Detectors,Other,10.947000000000001,Other
Smoke Detectors And Bedroom Outlets,Other,33.298,Other
Snow Melt,Other,0.009000000000000001,Other
"Soffit Plugs North, Bath/hall Lighting",Other,4.674,Other
Solar,Solar,0,Solar
Solar Array,Solar,0,Solar
Solar Panel And Inverter,Solar,0,Solar
Solar Plugs,Other,498.576,Other
Solar Power,Solar,0,Solar
Solar PV,Solar,0,Solar
"South Bedrooms, Master Bath, Master Closet",Other,14.175,Other
South Dining Room,Other,162.085,Other
South Dining Room Outlets,Other,25.933,Other
Spa,Hot Tub,1210.334,Other
Spa,Other,196.811,Other
Space Heater,Other Zonal Heat,1065.683,Heating
Sprinkler,Other,0.022,Other
"Sprinkler, Outdoor Plug, And Garage Outlet",Other,22.645,Other
Stair Lights,Other,27.381,Other
"Stairway, Bed 2",Other,106.9,Other
Stereo & Other Electronics,Other,345.613,Other
Storage Room Lights And Outlets,Other,0,Other
Storeroom,Other,28.811,Other
Stove,Stove/Oven/Range,29.829,Appliances
Stove Exhaust,Other,3.793,Other
